연도,시도,산재_평균근로자수,산재만_가입된사업장수,산재_가입된사업장수,고용_평균근로자수,고용만_가입된사업장수,고용_가입된사업장수
2010.0,광주,6.863186813186813,52,1820,6.847419171866138,1,1763
2010.0,대구,7.36662703131193,82,2523,7.051239669421488,7,2420
2010.0,대전,9.100746268656716,59,1340,8.816679779701023,3,1271
2010.0,부산,8.126126126126126,121,3108,7.622692178583417,11,2979
2010.0,서울,10.971552678647475,343,11741,10.869985075937143,30,11391
2010.0,울산,8.339491916859123,41,866,8.293972939729397,2,813
2010.0,인천,7.51984282907662,85,2545,6.790983606557377,4,2440
2011.0,광주,7.361302154974783,57,2181,7.3595874355368025,10,2133
2011.0,대구,6.338574774171964,82,2989,6.317553559087767,4,2894
2011.0,대전,8.042553191489361,74,1598,8.64763779527559,6,1524
2011.0,부산,7.052530253025303,99,3636,7.104160848924882,15,3581
2011.0,서울,9.311764270378323,369,13507,11.030929401930237,33,13159
2011.0,울산,11.595706618962433,49,1118,8.307619943555974,3,1063
2011.0,인천,9.449134948096885,114,2890,8.553873873873874,9,2775
2012.0,광주,6.922905027932961,56,2685,7.187380497131931,4,2615
2012.0,대구,6.044376434583015,93,3921,5.932552083333333,9,3840
2012.0,대전,6.797514956281638,72,2173,6.36003861003861,2,2072
2012.0,부산,6.285865201774773,135,4733,6.064864864864865,26,4625
2012.0,서울,8.946642616082858,371,17186,8.595838026916464,27,16867
2012.0,울산,10.379008746355685,56,1372,7.832440703902066,4,1307
2012.0,인천,6.9103502352326185,189,3826,6.599613686534217,10,3624
2013.0,광주,5.565035415325177,71,3106,5.8001981505944515,2,3028
2013.0,대구,5.4604929739691315,123,4341,5.258312020460358,6,4301
2013.0,대전,5.732713303679741,80,2473,5.835801946677952,3,2363
2013.0,부산,5.792958285495599,143,5226,5.560620756547042,15,5155
2013.0,서울,8.34223811527135,471,19016,7.945060863944845,34,18566
2013.0,울산,6.120947630922693,64,1604,6.317880794701987,3,1510
2013.0,인천,7.284934756820878,153,4215,6.283251231527093,6,4060
2014.0,광주,5.285354242509101,72,3571,5.138936535162951,2,3498
2014.0,대구,4.541628545288198,160,5465,4.448185066766974,9,5317
2014.0,대전,5.346616283064239,99,2911,5.345791001451379,3,2756
2014.0,부산,5.238080869040434,168,6628,5.047531713281369,33,6543
2014.0,서울,6.38174953373061,433,21983,6.062162286981019,38,21653
2014.0,울산,6.026329375322664,69,1937,6.00477960701009,4,1883
2014.0,인천,6.06807131280389,124,4936,5.930377123912143,12,4826
2015.0,광주,4.623574962357496,92,4649,4.518591426071741,7,4572
2015.0,대구,4.480343980343981,176,6512,4.3787688442211055,10,6368
2015.0,대전,5.066707279926896,128,3283,5.230548469387755,6,3136
2015.0,부산,5.085679644348646,175,7423,5.020167375497325,31,7289
2015.0,서울,6.071546589817483,563,26025,6.118521118521119,45,25641
2015.0,울산,6.523128278493085,64,2097,5.9824817518248175,5,2055
2015.0,인천,5.5145299145299145,164,5850,5.256225885654157,12,5702
2016.0,광주,4.753200709080166,122,5077,4.55213605993116,6,4939
2016.0,대구,4.198118586088939,254,7016,4.217570754716981,22,6784
2016.0,대전,5.292581747193753,145,4098,4.131704860236717,10,3971
2016.0,부산,4.525919830727636,248,8507,4.3706344410876135,27,8275
2016.0,서울,5.678619030590683,788,30761,5.5956788068446635,58,30038
2016.0,울산,5.764004767580453,97,2517,5.599837000814996,6,2454
2016.0,인천,6.060103626943005,190,6755,4.8626173886701,18,6602
2017.0,광주,4.427567289559404,165,5833,4.0370828182941905,3,5663
2017.0,대구,4.0479124748490944,262,7952,3.9363436408332255,19,7729
2017.0,대전,3.912154816264405,188,4599,3.96569741026806,10,4402
2017.0,부산,3.9375256462864177,235,9748,3.779524258618883,34,9543
2017.0,서울,5.446454288841523,720,34718,4.886908600574544,63,34114
2017.0,울산,6.473648186173854,98,2922,5.3125220458553795,5,2835
2017.0,인천,5.003619118931736,230,8013,4.661025641025641,22,7800
2018.0,광주,3.6862536559425685,339,7522,3.5950551753038136,19,7159
2018.0,대구,3.479613199082843,460,10031,3.4676342832927216,21,9439
2018.0,대전,4.143238285809572,356,5997,3.708941930887068,11,5614
2018.0,부산,3.6512507037722193,554,12433,3.4878006872852234,38,11640
2018.0,서울,4.67030109688415,1553,45766,4.396458514683649,64,43654
2018.0,울산,5.541853710060734,193,3787,5.275084554678692,3,3548
2018.0,인천,4.082545683679899,622,11109,3.8080015499370337,26,10323
2019.0,광주,3.6137571878051427,333,9217,3.3630693841184987,26,8979
2019.0,대구,3.5547147351415695,445,11761,3.515661809615217,17,11461
2019.0,대전,3.76555958693832,297,7166,3.607801114444921,15,6999
2019.0,부산,3.339744451916611,606,14870,3.3225538971807627,31,14472
2019.0,서울,4.347859327217125,1352,52320,3.65724190018785,88,51637
2019.0,울산,4.144361562088635,203,4558,3.951020408163265,4,4410
2019.0,인천,3.7641306021869707,554,12986,3.6480734235303425,22,12639
2020.0,광주,3.074160152123389,417,9466,2.8461538461538463,29,9087
2020.0,대구,2.9208885091841092,421,11705,2.932538631346578,73,11325
2020.0,대전,3.304551365409623,348,7690,2.9739978331527626,16,7384
2020.0,부산,3.1082503646394826,585,15769,2.884656154763482,32,15094
2020.0,서울,3.4109346139637977,1301,54140,3.0684610441159794,100,52906
2020.0,울산,4.002631578947368,212,4940,3.8299319727891157,4,4704
2020.0,인천,3.125181002027223,551,13812,3.0184359652436723,19,13235
2021.0,광주,2.639314516129032,487,9920,1.9000502765208647,379,9945
2021.0,대구,2.7086626375329304,606,12906,1.811879676286456,588,13098
2021.0,대전,2.658709106984969,434,7917,1.8879730236043462,369,8007
2021.0,부산,2.8746473196291817,688,17367,1.9093891402714933,660,17680
2021.0,서울,7.487264654544222,2375,59009,2.0208006814310053,1410,58700
2021.0,울산,3.4425907752698723,273,5095,2.080107837473522,262,5193
2021.0,인천,2.604997443762781,703,15648,1.9163624719820684,444,15615
