시도,연도,산재_음식사업장수,고용_음식사업장수
광주,2017.0,796,801
광주,2018.0,1121,1136
광주,2019.0,1674,1679
광주,2020.0,1757,1763
광주,2021.0,1727,1734
대구,2017.0,1367,1375
대구,2018.0,1739,1749
대구,2019.0,2523,2531
대구,2020.0,2428,2434
대구,2021.0,2619,2624
대전,2017.0,933,927
대전,2018.0,1093,1131
대전,2019.0,1588,1606
대전,2020.0,1767,1781
대전,2021.0,1634,1652
부산,2017.0,1713,1720
부산,2018.0,2159,2168
부산,2019.0,3205,3215
부산,2020.0,3508,3508
부산,2021.0,3829,3836
서울,2017.0,6069,6117
서울,2018.0,7967,8000
서울,2019.0,10576,10596
서울,2020.0,10612,10631
서울,2021.0,10752,10796
울산,2017.0,541,541
울산,2018.0,651,654
울산,2019.0,996,998
울산,2020.0,1137,1138
울산,2021.0,1046,1048
인천,2017.0,1319,1318
인천,2018.0,1817,1835
인천,2019.0,2718,2731
인천,2020.0,2886,2892
인천,2021.0,2891,2898
